COURSE,PROF,GPA,A,B,C,D,F,A (%),B (%),C (%),D (%),F (%),Q
ARCH 206,YOO W,3.875,14,2,0,0,0,87.5,12.5,0.0,0.0,0.0,0.0
ARCH 206,CLAYTON M,3.571,8,6,0,0,0,57.14,42.86,0.0,0.0,0.0,0.0
ARCH 206,JAIN P,3.866,13,2,0,0,0,86.67,13.33,0.0,0.0,0.0,0.0
ARCH 206,TATE J,4.0,13,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
ARCH 206,KIM S,3.916,11,1,0,0,0,91.67,8.33,0.0,0.0,0.0,0.0
ARCH 206,GELLES R,3.5,8,5,1,0,0,57.14,35.71,7.14,0.0,0.0,0.0
ARCH 206,WARDEN R,3.533,10,3,2,0,0,66.67,20.0,13.33,0.0,0.0,0.0
ARCH 212,ZHU X,2.951,14,16,7,3,1,34.15,39.02,17.07,7.32,2.44,0.0
ARCH 212,LU Z,3.54,32,15,2,0,1,64.0,30.0,4.0,0.0,2.0,0.0
ARCH 213,BELTRAN L,2.908,42,53,25,4,7,31.34,39.55,18.66,2.99,5.22,3.0
ARCH 213,BELTRAN L,2.4,7,8,9,2,4,23.33,26.67,30.0,6.67,13.33,0.0
ARCH 216,OLOWU B,3.723,35,11,1,0,0,71.43,22.45,2.04,0.0,0.0,2.0
ARCH 249,GLOWACKI K,3.0,48,60,29,5,3,32.0,40.0,19.33,3.33,2.0,5.0
ARCH 249,GLOWACKI K,3.138,14,16,4,1,1,36.84,42.11,10.53,2.63,2.63,2.0
ARCH 249,CAFFEY S,3.3,182,96,27,6,15,54.98,29.0,8.16,1.81,4.53,4.0
ARCH 250,KLEIN N,3.219,64,34,15,8,2,49.23,26.15,11.54,6.15,1.54,6.0
ARCH 250,KLEIN N,3.394,19,15,4,0,0,48.72,38.46,10.26,0.0,0.0,1.0
ARCH 250,CAMPAGNOL G,3.632,69,22,7,0,0,69.0,22.0,7.0,0.0,0.0,2.0
ARCH 250,STEWART Z,3.452,40,26,7,0,0,51.28,33.33,8.97,0.0,0.0,5.0
ARCH 305,AITANI K,3.0,4,4,1,0,1,40.0,40.0,10.0,0.0,10.0,0.0
